"Species after GB analysis","GB Number","Paper titles","Searched name",
"Anemia phyllitidis","SRX3868021","fern whole genome duplication study","Anemia phyllitidis"
"Pharus parvifolius","SRX8123372|SRX8123371|SRX8123267","Small RNAs in monocots","Pharus parvifolius"
"Phragmites australis","ERX3901784|SRX9729011|SRX9729010|SRX9729009|SRX9729008|SRX9729007|SRX9729006|SRX6409930|SRX6409929|SRX6409928|SRX6409927|SRX6409926|SRX6409925|SRX6409924|SRX6409923|SRX6409922|SRX6409921|SRX6409920|SRX6409919|ERX2698703|SRX4043155|SRX2022596|ERX1507904|SRX1639102|SRX1639101|SRX1639100|SRX1639099|SRX1639098|SRX1639097|SRX1639096|SRX1639095|SRX1639094|SRX1639093|SRX1639090|SRX1639087|SRX1639086|SRX1639085|SRX1622088|SRX1620362","Leaf transcriptomes of Arundinoideae species (Poaceae)|Transcriptome analysis of octoploids and tetraploids in common reed (Phragmites australis)|Leaves of Phragmites australis transcriptom|Unravelling the composition of the root-associated bacterial microbiota of Phragmites australis and Typha latifolia|High-depth whole genome sequencing of 760 vascular plants with specimens and images available Raw sequence reads|Adaptive response to complex desert stress environments in two ecotypes of Phragmites communis with contrasting water availability|High habitat-specificity in fungal communities of an oligo-mesotrophic, temperate lake|Phragmites australis culm tissue transcriptome sequence reads","Phragmites australis"
"Pseudoroegneria spicata","SRX1435041","Increasing genome sampling and improving SNP genotyping for genotyping-by-sequencing (GBS) with new combinations of restriction enzymes","Pseudoroegneria spicata"
"Rhipidocladum pittieri","ERX5224350","The use of transposable element analysis and other genomic tools to resolve the hybrid origins of the woody bamboos","Rhipidocladum pittieri"
"Sacciolepis striata","SRX3330364|SRX3330334|SRX3330320|SRX3330309|SRX2698655|SRX1150015","Highly expressed genes are preferentially co-opted for new functions during the emergence of C4 photosynthesis|Genome-Guided Phylo-Transcriptomics of the Paniceae Grasses|Phylogeny and photosynthesis of the grass tribe Paniceae","Sacciolepis striata"
"Schizachyrium scoparium","SRX8861231|SRX3533519|SRX3533518|SRX748371","DNA barcoding tallgrass prairie plants|Robust DNA Isolation and High-Throughput Sequencing Library Construction for Herbarium Specimens|Schizachyrium scoparium cultivar:The Blues Genome sequencing","Schizachyrium scoparium"
"Setaria palmifolia","SRX8344124","Sample sequence analysis of panicoid grass genomes","Setaria palmifolia"
"Setaria sulcata","SRX8344125","Sample sequence analysis of panicoid grass genomes","Setaria sulcata"
"Sorghastrum nutans","SRX8861186","DNA barcoding tallgrass prairie plants","Sorghastrum nutans"
"Sporobolus alterniflorus","SRX8928133|SRX6944034|SRX6410026|SRX6410025|SRX6410024|SRX6410023|SRX4396745|SRX4392118|SRX4392108|SRX4347844|SRX4340823|SRX3275146|SRX3275145|SRX3275144|SRX3275143|SRX3275142|SRX3275141|SRX3275140|SRX3275139|SRX3275138|SRX3275137|SRX3275136|SRX3275135|SRX3275134|SRX3275133|SRX3275132|SRX3275131|SRX3275130|SRX3275129|SRX3275128|SRX3275127|SRX3275126|SRX3275125|SRX3275124|SRX3275123|SRX3275122|SRX3275121|SRX3275120|SRX3275119|SRX3275118|SRX3275117|SRX2007149|SRX1433176|SRX1433175|SRX1433174|SRX1433173|SRX285756|SRX186027|SRX186026|SRX154658","Raw sequence reads from Danish species|Chromosome evolution in invasive Spartina plants|smallRNA Illumina sequencing|Sporobolus alterniflorus|Sporobolus alterniflorus Transcriptome or Gene expression|Spartina maritima, Spartina alterniflora, Spartina x townsendii, Spartina x neyrautii, Spartina anglica Raw sequence reads|Sporobolus alterniflorus cultivar:Vermilion Raw sequence reads|Sporobolus alterniflorus strain:Population from Landerneau (Finistere, France) Transcriptome or Gene expression","Spartina alterniflora"
"Sphenopholis obtusata","SRX8861256","DNA barcoding tallgrass prairie plants","Sphenopholis obtusata"
"Sporobolus virginicus","SRX5462965|DRX094551|DRX026372|DRX026371|DRX026370|DRX026369","PILBseq - A plastid and ribosomal sequence database developed from herbarium material for accurate plant identification|DNA sequencing in Sporobolus virginicus|RNA sequencing in Sporobolus virginicus","Sporobolus virginicus"
"Tripsacum andersonii","ERX2808484","Salmonella_enterica_ancient_DNA_and_modern_demography","Tripsacum andersonii"
"Tripsacum dactyloides","SRX4614079|SRX4614078|SRX4090743|SRX4090742|SRX4090741|SRX4090740|SRX4090739|SRX4090738|SRX4090737|SRX4090736|SRX4090735|SRX4090734|SRX4090733|SRX4090732|SRX4090731|SRX4090730|SRX4090729|SRX4090728|SRX3052399|SRX2739024|SRX2739023|SRX2441477|SRX2436407|SRX131144|SRX131143|SRX131142|SRX131141","mexicana and tripsacum assembly|Low temperature response in Tripsacum dactyloides|Tripsacum dactyloides Raw sequence reads|Zea and Tripsacum CENH3 ChIP-seq|Capturing Extant Variation from a Genome in Flux: Maize HapMap II","Tripsacum dactyloides"
"Tripsacum laxum","SRX9739360|SRX9141643","The complete chloroplast genome of Tripsacum laxum ( Gramineae )|EVOLUTIONARY DYNAMICS OF TRANSPOSABLE ELEMENTS FOLLOWING A SHARED POLYPLOIDIZATION EVENT IN THE TRIBE ANDROPOGONEAE","Tripsacum laxum"
"Urochloa fusca","SRX8127943|SRX8127942|SRX8127941|SRX8127940|SRX6949588|SRX6949587|SRX6949586|SRX6949585|SRX6949584|SRX6949583|SRX6949582|SRX6949581|SRX6949580|SRX6949579|SRX6949578|SRX6949577|SRX6949576|SRX6949575|SRX6949574|SRX6949573|SRX6949572|SRX6949571|SRX6949570|SRX6949569|SRX6949568|SRX6949567|SRX6949566|SRX6949565|SRX6949564|SRX6949563|SRX6949562|SRX6949561|SRX6949560|SRX6949559|SRX6949558|SRX6949557|SRX6949556|SRX6949555|SRX6949554|SRX6949553|SRX6949552|SRX6949551|SRX6949550|SRX6949549|SRX6949548|SRX6949547|SRX6949546|SRX6949545|SRX6949544|SRX6949543|SRX6949542|SRX6949541|SRX6949540|SRX6949539|SRX6949538|SRX6949537|SRX4188865|SRX4188864|SRX4188863|SRX4188862|SRX4188861|SRX4188860|SRX4061590|SRX3883601|SRX3883600|SRX3883599|SRX3883598|SRX3883597|SRX3883596|SRX3883595|SRX3883594|SRX3883593|SRX3883592|SRX3883591|SRX3883590|SRX3538776|SRX3538775|SRX3538774|SRX3538773|SRX3538772|SRX3538771|SRX3538770|SRX3538769|SRX3538768|SRX3538767|SRX2698669|SRX2182098|SRX2182097|SRX2182091|SRX2182086|SRX2182080|SRX2182076|SRX2120049|SRX2120048|SRX2120047|SRX2120046|SRX2120045|SRX2120044|SRX1149792","Urochloa fusca LBJWC-52 Transcriptome - UrfusRootStemPool|Urochloa fusca LBJWC-52 Transcriptome - UrfusLeafPool|Urochloa fusca LBJWC-52 Transcriptome - UF_-N_Leaf-1|Urochloa fusca LBJWC-52 Transcriptome - UF_-N_Leaf-2|Urochloa fusca LBJWC-52 Transcriptome - UF_-N_Leaf-3|Urochloa fusca LBJWC-52 Transcriptome - UF_-P_Leaf-1|Urochloa fusca LBJWC-52 Transcriptome - UF_Full_Leaf-1|Urochloa fusca LBJWC-52 Transcriptome - UF_Full_Leaf-2|Urochloa fusca LBJWC-52 Transcriptome - UF_Full_Leaf-3|Urochloa fusca LBJWC-52 Transcriptome - UF_-N_Stem-3|Urochloa fusca LBJWC-52 Transcriptome - UF_-P_Stem-1|Urochloa fusca LBJWC-52 Transcriptome - UF_-P_Stem-3|Urochloa fusca LBJWC-52 Transcriptome - UF_-P_Stem-2|Urochloa fusca LBJWC-52 Transcriptome - UF_Full_Root-2|Urochloa fusca LBJWC-52 Transcriptome - UF_-N_Stem-2|Urochloa fusca LBJWC-52 Transcriptome - UF_Full_Stem-3|Urochloa fusca LBJWC-52 Transcriptome - UF_-N_Stem-1|Urochloa fusca LBJWC-52 Transcriptome - UF_Full_Root-1|Urochloa fusca LBJWC-52 Transcriptome - UF_Full_Stem-2|Urochloa fusca LBJWC-52 Transcriptome - UF_Full_Stem-1|Urochloa fusca LBJWC-52 Transcriptome - UF_-P_Leaf-3|Urochloa fusca LBJWC-52 Transcriptome - UF_Full_Root-3|Urochloa fusca LBJWC-52 Transcriptome - UF_-N_Root-1|Urochloa fusca LBJWC-52 Transcriptome - UF_-N_Root-2|Urochloa fusca LBJWC-52 Transcriptome - UF_-N_Root-3|Urochloa fusca LBJWC-52 Transcriptome - UF_-P_Root-1|Urochloa fusca LBJWC-52 Transcriptome - UF_-P_Root-2|Urochloa fusca LBJWC-52 Transcriptome - UF_-P_Root-3|Mesophyll and bundle sheath enriched RNA sequencing for five tribe Paniceae grasses.|Urochloa fusca LBJWC-52 Genome Sequencing|Urochloa fusca cultivar:LBJWC-52 Transcriptome or Gene expression|Urochloa fusca LBJWC-52 Gene Expression Profiling - leaf gradient +4 rep 1 transcriptome|Genome-Guided Phylo-Transcriptomics of the Paniceae Grasses|Cold stress and control on panicoid grass species.|Phylogeny and photosynthesis of the grass tribe Paniceae","Urochloa fusca"
"Zea diploperennis","SRX10076851|SRX9141642|SRX2739020|SRX2739019","Mapping studies of Zea diploperennis|EVOLUTIONARY DYNAMICS OF TRANSPOSABLE ELEMENTS FOLLOWING A SHARED POLYPLOIDIZATION EVENT IN THE TRIBE ANDROPOGONEAE|Zea and Tripsacum CENH3 ChIP-seq","Zea diploperennis"
"Zea luxurians","SRX2739022|SRX2739021|SRX036565","Zea and Tripsacum CENH3 ChIP-seq|Genome size and transposable element content as determined by high-throughput  sequencing in maize and Zea luxurians","Zea luxurians"
"Zuloagaea bulbosa","SRX8344128|SRX2698673|SRX1149682","Sample sequence analysis of panicoid grass genomes|Genome-Guided Phylo-Transcriptomics of the Paniceae Grasses|Phylogeny and photosynthesis of the grass tribe Paniceae","Zuloagaea bulbosa"
"Saltugilia australis","SRX1774240|SRX1338681|SRX1338549","Multispecies data set for Leptosiphon and Linanthus species Raw sequence reads|Saltugilia Raw sequence reads|Saltugilia australis and Saltugilia splendens subsp. grantii transcriptome","Gilia australis"
"Saltugilia caruifolia","SRX1857180|SRX1857179|SRX1338682","Multiple Saltugilia species Targeted loci|Saltugilia Raw sequence reads","Gilia caruifolia"
"Gilia nevinii","SRX1774239","Multispecies data set for Leptosiphon and Linanthus species Raw sequence reads","Gilia nevinii"
"Gilia stellata","SRX1338670","Saltugilia Raw sequence reads","Gilia stellata"
"Ipomopsis aggregata","SRX040655","Genome sequencing, Ipomopsis aggregata","Ipomopsis aggregata"
"Linanthus pungens","SRX1774211|SRX1774210|SRX1774209|SRX1774208|SRX1774207","Multispecies data set for Leptosiphon and Linanthus species Raw sequence reads","Leptodactylon pungens"
"Leptosiphon aureus subsp. decorus|Leptosiphon aureus subsp. aureus","SRX1774940|SRX1774938|SRX1774937|SRX1774935|SRX1774924","Multispecies data set for Leptosiphon and Linanthus species Raw sequence reads","Linanthus aureus"
"Linanthus bellus","SRX1772349|SRX1772348|SRX1772346","Multispecies data set for Leptosiphon and Linanthus species Raw sequence reads","Linanthus bellus"
"Linanthus bigelovii","SRX1772350","Multispecies data set for Leptosiphon and Linanthus species Raw sequence reads","Linanthus bigelovii"
"Linanthus dianthiflorus","SRX1772482|SRX1772481|SRX1772451|SRX1772450","Multispecies data set for Leptosiphon and Linanthus species Raw sequence reads","Linanthus dianthiflorus"
"Leptosiphon floribundus subsp. hallii|Leptosiphon floribundus subsp. glaber|Leptosiphon floribundus","SRX1775269|SRX1775267|SRX1775265|SRX1775264|SRX1775263|SRX1775262","Multispecies data set for Leptosiphon and Linanthus species Raw sequence reads","Linanthus floribundus"
"Linanthus jonesii","SRX1772579|SRX1772578|SRX1772492","Multispecies data set for Leptosiphon and Linanthus species Raw sequence reads","Linanthus jonesii"
"Linanthus laxus","SRX1772582","Multispecies data set for Leptosiphon and Linanthus species Raw sequence reads","Linanthus laxus"
"Leptosiphon lemmonii","SRX1775009|SRX1775008|SRX1775004|SRX1775003|SRX1775002","Multispecies data set for Leptosiphon and Linanthus species Raw sequence reads","Linanthus lemmonii"
"Linanthus melingii","SRX1772585","Multispecies data set for Leptosiphon and Linanthus species Raw sequence reads","Linanthus melingii"
"Linanthus orcuttii","SRX1772602|SRX1772588|SRX1772587|SRX1772586","Multispecies data set for Leptosiphon and Linanthus species Raw sequence reads","Linanthus orcuttii"
"Leptosiphon parviflorus","SRX1775270|SRX1775258|SRX1775128|SRX1775124|SRX1775119|SRX1775118|SRX1775117|SRX1775116|SRX1775091","Multispecies data set for Leptosiphon and Linanthus species Raw sequence reads","Linanthus parviflorus"
"Leptosiphon pygmaeus subsp. continentalis|Leptosiphon pygmaeus","SRX1775272|SRX1775176|SRX1775174","Multispecies data set for Leptosiphon and Linanthus species Raw sequence reads","Linanthus pygmaeus"
"Linanthus uncialis","SRX1774212","Multispecies data set for Leptosiphon and Linanthus species Raw sequence reads","Linanthus uncialis"
"Phlox austromontana","SRX1774219|SRX1774218|SRX1774217","Multispecies data set for Leptosiphon and Linanthus species Raw sequence reads","Phlox austromontana"
"Phlox pilosa subsp. pilosa|Phlox pilosa subsp. deamii|Phlox pilosa subsp. fulgida|Phlox pilosa","SRX10084256|SRX10084253|SRX10084252|SRX10084251|SRX10084250|SRX10084249|SRX10084248|SRX10084247|SRX10084245|SRX10084244|SRX10084243|SRX10084242|SRX10084241|SRX10084240|SRX10084239|SRX10084238|SRX10084237|SRX10084222|SRX10084217|SRX10084216|SRX10084215|SRX10084214|SRX10084213|SRX10084212|SRX10084211|SRX10084210|SRX10084209|SRX10084208|SRX10084207|SRX10084206|SRX10084205|SRX10084203|SRX10084202|SRX10084201|SRX10084184|SRX10084175|SRX10084172|SRX10084171|SRX10084170|SRX10084169|SRX10084162|SRX10084161|SRX10084160|SRX10084159|SRX10084158|SRX10084157|SRX10084156|SRX10084155|SRX10084154|SRX10084153|SRX10084152|SRX10084151|SRX10084150|SRX10084149|SRX10084148|SRX10084146|SRX10084145|SRX10084144|SRX10084143|SRX10084142|SRX10084141|SRX10084140|SRX10084139|SRX10084138|SRX10084126|SRX10084124|SRX10084123|SRX10084122|SRX10084121|SRX10084120|SRX10084119|SRX10084118|SRX10084117|SRX10084116|SRX10084115|SRX10084113|SRX10084112|SRX10084111|SRX10084110|SRX10084106|SRX10084105|SRX10084104|SRX8861190|SRX2493912","Genomic analyses overturn two long-standing homoploid hybrid speciation hypotheses|DNA barcoding tallgrass prairie plants|Phlox pilosa Assembly","Phlox pilosa"
"Coccoloba uvifera","SRX3526880","phylotranscriptomic analysis of Caryophyllales","Coccoloba uvifera"
"Eriogonum deflexum","SRX3526842","phylotranscriptomic analysis of Caryophyllales","Eriogonum deflexum"
"Eriogonum inflatum","SRX3526911","phylotranscriptomic analysis of Caryophyllales","Eriogonum inflatum"
"Eriogonum rotundifolium","SRX3526865","phylotranscriptomic analysis of Caryophyllales","Eriogonum rotundifolium"
"Persicaria amphibia","SRX8861191|SRX8860990","DNA barcoding tallgrass prairie plants","Persicaria amphibia"
"Bistorta bistortoides","SRX10020852|SRX10020841|SRX10020829|SRX10020777|SRX10020765|SRX10020753|SRX3526908","Linked networks reveal dual roles of insect dispersal and species sorting for bacterial communities in flowers|phylotranscriptomic analysis of Caryophyllales","Persicaria bistortoides"
"Persicaria hydropiperoides","SRX3526558|SRX3526539","Genomic Plasticity in Response to Variable Environments","Persicaria hydropiperoides"
"Persicaria punctata","SRX8861103","DNA barcoding tallgrass prairie plants","Persicaria punctata"
"Persicaria virginiana","SRX3746757|SRX3526874","Stranded transcriptome sequencing from 43 species across the plant order Caryophyllales|phylotranscriptomic analysis of Caryophyllales","Persicaria virginiana"
"Podopterus cordifolius","SRX3526877","phylotranscriptomic analysis of Caryophyllales","Podopterus cordifolius"
"Podopterus mexicanus","SRX3526852","phylotranscriptomic analysis of Caryophyllales","Podopterus mexicanus"
"Pterostegia drymarioides","SRX3746783|SRX3526912","Stranded transcriptome sequencing from 43 species across the plant order Caryophyllales|phylotranscriptomic analysis of Caryophyllales","Pterostegia drymarioides"
"Rumex salicifolius var. mexicanus","SRX5674972","Medicinal Plant","Rumex salicifolius"
"Calyptridium parryi","SRX2857967","Targeted sequence capture study of the Portullugo","Cistanthe parryi"
"Calyptridium umbellatum","SRX4741985|SRX2857976","Evolution of Portulacineae marked by gene tree conflict and gene family exmpasion associated with adaptation to harsh environments|Targeted sequence capture study of the Portullugo","Cistanthe umbellata"
"Portulaca grandiflora","ERX2099322","1000 Plant (1KP) Transcriptomes: The Remaining Data","Portulaca grandiflora"
"Portulaca oleracea","SRX6965663|SRX6965662|SRX6965661|SRX6965660|SRX6965659|SRX6965658|SRX6965657|SRX6965656|SRX6965655|SRX6965654|SRX6965653|SRX6965652|SRX6965651|SRX6965650|SRX6965649|SRX6965648|SRX6965647|SRX6965646|SRX6965645|SRX6965644|SRX6965643|SRX6965642|SRX6965641|SRX6965640|SRX6965639|SRX6965638|SRX6965637|SRX6965636|SRX6965635|SRX6965634|SRX6965633|SRX6965632|SRX6965631|SRX6965630|SRX6965629|SRX6965628|SRX5725468|SRX5725467|SRX5725466|SRX5725465|SRX5725464|SRX5725463|SRX5370722|SRX5184877|SRX5184876|SRX5184875|SRX5184874|SRX5184873|SRX3268665|SRX3268664|SRX3268663|SRX3268662|ERX2099325|ERX2099317|SRX800820|SRX800819|SRX800818|SRX800817|SRX800804|SRX800803|SRX800800|SRX800799|SRX800779","Deciphering key components behind Portulaca oleracea photosynthesis|Transcriptome sequencing of purslane stem|Portulaca oleracea Transcriptome or Gene expression|Transcriptome sequencing of purslane leaf.|Transcriptome of Portulaca oleracea accession of CFTRI08 leaf|Transcriptome of Portulaca oleracea accession of CFTRI04 leaf|1000 Plant (1KP) Transcriptomes: The Remaining Data|Caryophyllales Transcriptome or Gene expression","Portulaca oleracea"
"Portulaca pilosa","ERX2099326","1000 Plant (1KP) Transcriptomes: The Remaining Data","Portulaca pilosa"
"Portulaca suffrutescens","ERX2099327","1000 Plant (1KP) Transcriptomes: The Remaining Data","Portulaca suffrutescens"
"Portulaca umbraticola","ERX2099328|ERX2099323","1000 Plant (1KP) Transcriptomes: The Remaining Data","Portulaca umbraticola"
"Potamogeton natans","SRX8928131","Raw sequence reads from Danish species","Potamogeton natans"
"Stuckenia pectinata","SRX8928247","Raw sequence reads from Danish species","Stuckenia pectinata"
"Ardisia escallonioides","SRX8528006","Asterid phylogenomics/phylotranscriptomics uncover morphological evolutionary histories and phylogenetic placement for numerous whole genome duplications","Ardisia escallonioides"
"Ardisia revoluta","ERX2099556","1000 Plant (1KP) Transcriptomes: The Remaining Data","Ardisia revoluta"
"Aconitum columbianum","SRX10020843|SRX10020817|SRX10020806|SRX10020794|SRX10020761|SRX10020758","Linked networks reveal dual roles of insect dispersal and species sorting for bacterial communities in flowers","Aconitum columbianum"
"Aquilegia canadensis","SRX8861107|SRX4681428|SRX4681386|SRX4681385|SRX298764","DNA barcoding tallgrass prairie plants|Multiple Aquilegia species Transcriptome|Aquilegia canadensis Genome sequencing","Aquilegia canadensis"
"Aquilegia chrysantha","SRX4681384|SRX4681383|SRX4681381|SRX120040","Multiple Aquilegia species Transcriptome|Aquilegia chrysantha Project","Aquilegia chrysantha"
"Aquilegia elegantula","SRX4681396|SRX4681395|SRX4681394|SRX4681391|SRX4681390|SRX4681389","Multiple Aquilegia species Transcriptome","Aquilegia elegantula"
"Aquilegia formosa","SRX10020853|SRX10020821|SRX10020799|SRX10020788|SRX10020783|SRX10020773|SRX4778130|SRX4778129|SRX4681466|SRX4681465|SRX4681459|SRX4681404|SRX4681398|SRX4681397|SRX4681376|SRX4666224|SRX4645700|SRX120035","Linked networks reveal dual roles of insect dispersal and species sorting for bacterial communities in flowers|Multiple Aquilegia species Transcriptome|Genetic mapping of Aquilegia formosa and A. pubescens|Whole Genome Shotgun (WGS) project of Aquilegia formosa","Aquilegia formosa"
"Aquilegia longissima","SRX4799433|SRX4681416|SRX4681415|SRX4681413","Aquilegia longissima Genome sequencing|Multiple Aquilegia species Transcriptome","Aquilegia longissima"
"Aquilegia skinneri","SRX4681455|SRX4681454|SRX4681453|SRX4681452|SRX4681451|SRX4681450","Multiple Aquilegia species Transcriptome","Aquilegia skinneri"
"Delphinium carolinianum","SRX8861110","DNA barcoding tallgrass prairie plants","Delphinium carolinianum"
"Myosurus minimus","SRX8928314","Raw sequence reads from Danish species","Myosurus minimus"
"Thalictrum hernandezii","SRX3823746|SRX3823745","Transcriptomic and genomic resources for a basal Eudicot genus Thalictrum (Ranunculaceae) Raw sequence reads","Thalictrum hernandezii"
"Ceanothus thyrsiflorus","SRX4705164|SRX4705128|SRX4704618|SRX4704616|SRX3478206|SRX3478205|SRX3478204|SRX3478203|SRX3478202|SRX3478196","Nodule transcriptome of Ceanothus thyrsiflorus Raw sequence reads|Actinorhizal plant root and nodule transcriptome","Ceanothus thyrsiflorus"
"Frangula caroliniana","ERX2099474","1000 Plant (1KP) Transcriptomes: The Remaining Data","Rhamnus caroliniana"
"Cassipourea guianensis","SRX6099620","Erythroxylaceae phylogenomics and phylogeography","Cassipourea guianensis"
"Rhizophora mangle","SRX9854708|SRX9854707|SRX9854706|SRX9854705|SRX9854704|SRX9854703|SRX9854702|SRX9854701|SRX9854700|SRX9854699|SRX9854698|SRX9854697|SRX9854696|SRX9854695|SRX9854694|SRX9854693|SRX9854692|SRX9854691|SRX9854690|SRX9854689|SRX9854688|SRX9854687|SRX9854686|SRX9854685|SRX9854684|SRX9854683|SRX9854682|SRX9854681|SRX9854680|SRX9854679|SRX9854678|SRX9854677|SRX9854676|SRX9854675|SRX9854674|SRX9854673|SRX9854672|SRX9854671|SRX9854670|SRX9854669|SRX9854668|SRX9854667|SRX9854666|SRX9854665|SRX9854664|SRX9854663|SRX9854662|SRX9854661|SRX9854660|SRX9854659|SRX9854658|SRX9854657|SRX9854656|SRX9854655|SRX9854654|SRX9854653|SRX9854652|SRX9854651|SRX9854650|SRX9854649|SRX9854648|SRX9854647|SRX9854646|SRX9854645|SRX9854644|SRX9854643|SRX9854642|SRX9854641|SRX9854640|SRX9854639|SRX9854638|SRX9854637|SRX9854636|SRX9854635|SRX9854634|SRX9854633|SRX9854632|SRX9854631|SRX9854630|SRX9854629|SRX9854628|SRX9854627|SRX6099510|SRX4634905|SRX4634904|SRX4634903|SRX4634902|SRX4634901|SRX4634900|SRX4634899|SRX4634898|SRX4634897|SRX4634896|SRX4634895|SRX4634894|SRX4634893|SRX4634892|SRX4634891|SRX4634890|SRX4634889|SRX4634888|SRX4634887|SRX4634886|SRX4634885|SRX4634884|SRX4634883|SRX4634882|SRX4634881|SRX4634880|SRX4634879|SRX4634878|SRX4634877|SRX4634876|SRX4634875|SRX4634874|SRX4634873|SRX4634872|SRX4634871|SRX4634870|SRX4634869|SRX4634868|SRX4634867|SRX4634866|SRX4634865|SRX4634864|SRX4634863|SRX4634862|SRX4634861|SRX4634860|SRX4634859|SRX4634858|SRX4634857|SRX4634856|SRX4371000|SRX4370999|SRX4370998|SRX4370997|SRX4370996|SRX4370995|SRX4370994|SRX4370993|SRX4370992|SRX4370991|SRX4370990|SRX4370989|SRX4370988|SRX4370987|SRX4370986|SRX4370985|SRX4370984|SRX4370983|SRX4370982|SRX4370981|SRX4370980|SRX4370979|SRX4370978|SRX4370977|SRX4370976|SRX4370975|SRX4370974|SRX4370973|SRX4370972|SRX4370971|SRX4370970|SRX4370969|SRX4370968|SRX4370967|SRX4370966|SRX4370965|SRX4370964|SRX4370963|SRX4370962|SRX4370961|SRX4370960|SRX4370959|SRX4370958|SRX4370957|SRX4370956|SRX4370955|SRX4370954|SRX4370953|SRX4370952|SRX4370951|SRX4370950|SRX4370949|SRX4370948|SRX4370947|SRX4370946|SRX4370945|SRX4370944|SRX4370943|SRX4370942|SRX4370941|SRX4370940|SRX4370939|SRX4370938|SRX4370937|SRX4370936|SRX4370935|SRX4370934|SRX4370933|SRX4370932|SRX4370931|SRX4370930|SRX4370929|SRX4370928|SRX4370927|SRX4370926|SRX4370925|SRX4370924|SRX4370923|SRX4370922|SRX4370921|SRX4370920|SRX4370919|SRX4370918|SRX4370917|SRX4370916|SRX4370915|SRX4370914|SRX4370913|SRX4370912|SRX4370911|SRX4370910|SRX4370909|SRX4370908|SRX4370907|SRX4370906|SRX4370905|SRX4370904|SRX4370903|SRX4370902|SRX4370901|SRX4370900|SRX4370899|SRX4370898|SRX4370897|SRX4370896|SRX4370895|SRX4370894|SRX4370893|SRX4370892|SRX4370891|SRX4370890|SRX4370889|SRX4370888|SRX4370887|SRX4370886|SRX4370885|SRX4370884|SRX4370883|SRX4370882|SRX4370881|SRX4370880|SRX4370879|SRX4239863|SRX4239862|SRX4239861|SRX4239860|SRX4239859|SRX4239858|SRX4239857|SRX4239856|SRX4239855|SRX4239854|SRX4239853|SRX4239852|SRX4239851|SRX4239850|SRX4239849|SRX4239848|SRX4239847|SRX4239846|SRX4239845|SRX4239844|SRX4239843|SRX4239842|SRX4239841|SRX4239840|SRX4239839|SRX4239838|SRX4239837|SRX4239836|SRX4239835|SRX4239834|ERX2050152|SRX3079230|SRX3079229|SRX3079228|SRX3079227|SRX3079226|SRX3079225|SRX3079224|SRX3079223|SRX3079222|SRX3079221|SRX3079220|SRX3079219|SRX3079218|SRX3079217|SRX3079216|SRX3079215|SRX3079214|SRX3079213|SRX3079212|SRX3079211|SRX3079210|SRX3079209|SRX3079208|SRX3079207|SRX3079206|SRX3079205|SRX3079204|SRX3079203|SRX3079202|SRX3079201|SRX3079200|SRX3079199|SRX3079198|SRX3079197|SRX3079196|SRX3079195|SRX3079194|SRX3079193|SRX3079192|SRX3079191|SRX3079190|SRX3079189|SRX3079188|SRX3079187|SRX3079186|SRX3079185|SRX3079184|SRX3079183|SRX3079182|SRX3079181|SRX3079180|SRX3079179|SRX3079178|SRX3079177|SRX3079176|SRX3079175|SRX3079174|SRX3079173|SRX3079172|SRX3079171|SRX3079170|SRX3079169|SRX3079168|SRX3079167|SRX3079166|SRX3079165|SRX3079164|SRX3079163|SRX3079162|SRX3079161|SRX3079160|SRX3079159|SRX3079158|SRX3079157|SRX3079156|SRX3079155|SRX3079154|SRX3079153|SRX3079152|SRX3079151|SRX3079150|SRX3079149|SRX3079148|SRX3079147|SRX3079146|SRX3079145|SRX3079144|SRX3079143|SRX3079142|SRX3079141|SRX3079140|SRX3079139|SRX3079138|SRX3079137|SRX3079136|SRX3079135|ERX2099450|SRX001383","Relict inland mangrove ecosystem reveals last interglacial sea levels|Erythroxylaceae phylogenomics and phylogeography|Red mangrove RAD-Seq data from the Caribbean|Rhizophora mangle Transcriptome or Gene expression|Resequencing data of Rhizophora mangle.|Red mangroves RAD-Seq data from Florida|1000 Plant (1KP) Transcriptomes: The Remaining Data|Rhizophora mangle transcriptome project","Rhizophora mangle"
"Aphanes occidentalis","SRX9006955|SRX5110576","Target enrichment sequencing of 56 species of Fragariinae (mainly Alchemilla s.l.) and 3 of other Rosoideae.|Microfluidic PCR target enrichment of the genus Lachemilla (Rosaceae)","Aphanes occidentalis"
"Cercocarpus ledifolius","ERX2099487","1000 Plant (1KP) Transcriptomes: The Remaining Data","Cercocarpus ledifolius"
"Crataegus crus-galli","SRX9420481|SRX4277502","Phylogeny of Crataegus (Rosaceae) based on 257 nuclear loci and chloroplast genomes: evaluating the impact of hybridization|Crataegus genome sequencing","Crataegus crus-galli"
